updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2015-02-23 07:24:40.392000,nv-2012-07-12-primary,2012-07-12 00:00:00,2012-07-12 00:00:00,primary,unofficial,False,STATE ASSEMBLY,DISTRICT 40,"LIVERMORE, PETE (Incumbent)",,,,,REPUBLICAN,Carson City,ocd-division/country:us/state:nv/place:carson_city,3155,,,,,2012
2015-02-23 07:24:40.392000,nv-2012-07-12-primary,2012-07-12 00:00:00,2012-07-12 00:00:00,primary,unofficial,False,STATE ASSEMBLY,DISTRICT 40,"DAVIES, PHILLIP K.",,,,,REPUBLICAN,Carson City,ocd-division/country:us/state:nv/place:carson_city,1207,,,,,2012
2015-02-23 07:24:40.392000,nv-2012-07-12-primary,2012-07-12 00:00:00,2012-07-12 00:00:00,primary,unofficial,False,U.S. REPRESENTATIVE IN CONGRESS,DISTRICT 2,"RODRIGUEZ, XIOMARA ""XIO""",,,,,DEMOCRAT,Carson City,ocd-division/country:us/state:nv/place:carson_city,778,,,,,2012
2015-02-23 07:24:40.392000,nv-2012-07-12-primary,2012-07-12 00:00:00,2012-07-12 00:00:00,primary,unofficial,False,U.S. REPRESENTATIVE IN CONGRESS,DISTRICT 2,"KOEPNICK, SAMUEL",,,,,DEMOCRAT,Carson City,ocd-division/country:us/state:nv/place:carson_city,900,,,,,2012
2015-02-23 07:24:40.392000,nv-2012-07-12-primary,2012-07-12 00:00:00,2012-07-12 00:00:00,primary,unofficial,False,U.S. REPRESENTATIVE IN CONGRESS,DISTRICT 2,"DEHNE, SAM",,,,,DEMOCRAT,Carson City,ocd-division/country:us/state:nv/place:carson_city,549,,,,,2012
2015-02-23 07:25:35.566000,nv-2012-07-12-primary,2012-07-12 00:00:00,2012-07-12 00:00:00,primary,unofficial,False,U.S. REPRESENTATIVE IN CONGRESS,DISTRICT 2,"RODRIGUEZ, XIOMARA ""XIO""",,,,,DEMOCRAT,Churchill,ocd-division/country:us/state:nv/county:churchill,172,,,,,2012
2015-02-23 07:25:35.566000,nv-2012-07-12-primary,2012-07-12 00:00:00,2012-07-12 00:00:00,primary,unofficial,False,U.S. REPRESENTATIVE IN CONGRESS,DISTRICT 2,"KOEPNICK, SAMUEL",,,,,DEMOCRAT,Churchill,ocd-division/country:us/state:nv/county:churchill,418,,,,,2012
2015-02-23 07:25:35.566000,nv-2012-07-12-primary,2012-07-12 00:00:00,2012-07-12 00:00:00,primary,unofficial,False,U.S. REPRESENTATIVE IN CONGRESS,DISTRICT 2,"DEHNE, SAM",,,,,DEMOCRAT,Churchill,ocd-division/country:us/state:nv/county:churchill,162,,,,,2012
2015-02-23 07:26:26.114000,nv-2012-07-12-primary,2012-07-12 00:00:00,2012-07-12 00:00:00,primary,unofficial,False,STATE ASSEMBLY,DISTRICT 42,"SILBERKRAUS, STEPHEN H.",,,,,REPUBLICAN,Clark,ocd-division/country:us/state:nv/county:clark,441,,,,,2012
2015-02-23 07:26:26.114000,nv-2012-07-12-primary,2012-07-12 00:00:00,2012-07-12 00:00:00,primary,unofficial,False,STATE ASSEMBLY,DISTRICT 42,"MCENTEE, ROBERT",,,,,REPUBLICAN,Clark,ocd-division/country:us/state:nv/county:clark,457,,,,,2012
